,user activity,env brightness,images,theme,layout,font size,p_score,i_score,r_score,score,output
184,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
185,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,2,2,5,0
186,STILL,0.0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
187,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,-1,0,-2,-3,0
188,STILL,6.0,withImages,dark-theme,largeCards,large-font,-1,1,1,1,0
189,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
190,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,1,2,1,4,0
191,IN_VEHICLE,0.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
192,STILL,147.0,withImages,light-theme,xLargeCards,large-font,1,1,2,4,0
193,STILL,438.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
194,STILL,389.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
195,STILL,1.0,withImages,dark-theme,largeCards,large-font,0,1,-1,0,0
196,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
197,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
198,ON_FOOT,16.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
199,STILL,1.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
200,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
201,ON_FOOT,2.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
202,ON_FOOT,8.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
203,STILL,69.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
204,ON_FOOT,79.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
205,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
206,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
207,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
208,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
209,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
210,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
211,STILL,16.0,withImages,light-theme,largeCards,small-font,1,0,0,1,0
212,STILL,0.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
213,STILL,0.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
214,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
215,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
216,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
217,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
218,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
219,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
220,STILL,102.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
221,STILL,86.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
222,STILL,86.0,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
223,STILL,75.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
224,STILL,77.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
225,STILL,59.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
226,STILL,108.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
227,STILL,50.0,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
228,STILL,49.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
229,STILL,68.0,withImages,dark-theme,xLargeCards,large-font,0,1,1,2,0
230,IN_VEHICLE,58.0,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
231,IN_VEHICLE,95.0,withImages,light-theme,xLargeCards,large-font,1,2,2,5,0
232,IN_VEHICLE,72.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
233,IN_VEHICLE,61.0,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
234,STILL,62.0,withImages,light-theme,xLargeCards,large-font,2,2,1,5,0
235,IN_VEHICLE,62.0,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
236,IN_VEHICLE,117.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
237,ON_FOOT,218.0,withImages,light-theme,xLargeCards,small-font,1,2,2,5,0
238,STILL,184.0,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
239,IN_VEHICLE,888.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
240,STILL,620.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
241,ON_FOOT,681.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
242,STILL,257.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
243,ON_FOOT,2659.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
244,STILL,229.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
245,ON_FOOT,348.0,withImages,light-theme,largeCards,small-font,2,2,1,5,0
246,STILL,790.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
247,ON_FOOT,2443.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
248,STILL,13.0,withImages,light-theme,xLargeCards,large-font,1,0,1,2,0
249,STILL,13.0,withImages,light-theme,xLargeCards,large-font,0,1,-1,0,0
250,STILL,13.0,withImages,light-theme,largeCards,large-font,1,1,1,3,0
251,STILL,10.0,withImages,light-theme,largeCards,large-font,-1,2,0,1,0
252,STILL,871.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
253,STILL,923.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
254,STILL,789.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
255,STILL,865.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
256,IN_VEHICLE,13.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
257,IN_VEHICLE,19.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
258,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
259,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
260,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
261,ON_FOOT,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
262,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
263,STILL,13.0,withImages,dark-theme,largeCards,large-font,2,1,1,4,0
264,STILL,13.0,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
265,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
266,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
267,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
268,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
269,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
270,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
271,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
272,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
273,ON_FOOT,136.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
274,ON_FOOT,107.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
275,ON_FOOT,93.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
276,STILL,0.0,withImages,light-theme,xLargeCards,small-font,2,2,1,5,0
277,STILL,0.0,withImages,light-theme,xLargeCards,small-font,2,2,1,5,0
278,STILL,0.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
279,STILL,0.0,withImages,light-theme,largeCards,small-font,0,1,2,3,0
280,STILL,117.0,withImages,light-theme,xLargeCards,small-font,2,1,0,3,0
281,STILL,19.0,withImages,light-theme,xLargeCards,small-font,1,0,1,2,0
282,ON_FOOT,0.0,withImages,light-theme,largeCards,large-font,1,1,2,4,0
283,STILL,87.0,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
284,STILL,61.0,withImages,light-theme,xLargeCards,large-font,2,1,0,3,0
285,STILL,17.0,withImages,light-theme,largeCards,small-font,2,2,1,5,0
286,ON_FOOT,20.0,withImages,light-theme,largeCards,small-font,1,2,1,4,0
287,STILL,2.0,withImages,light-theme,largeCards,small-font,1,1,2,4,0
288,STILL,1.0,withImages,light-theme,largeCards,small-font,2,1,2,5,0
289,STILL,1.0,withImages,light-theme,largeCards,small-font,1,2,2,5,0
290,ON_FOOT,221.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
291,ON_FOOT,174.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
292,STILL,0.0,withImages,light-theme,xLargeCards,small-font,2,1,1,4,0
293,ON_FOOT,93.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
294,ON_FOOT,26.0,withImages,light-theme,largeCards,small-font,1,1,2,4,0
295,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
296,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
297,ON_FOOT,64.0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
298,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
299,STILL,57.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
300,ON_FOOT,11.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
301,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
302,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
303,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
304,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
305,STILL,17.0,withImages,dark-theme,xLargeCards,small-font,1,0,2,3,0
306,STILL,17.0,withImages,dark-theme,xLargeCards,small-font,1,2,0,3,0
307,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
308,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
309,STILL,103.0,withImages,light-theme,largeCards,large-font,2,2,1,5,0
310,STILL,88.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
311,STILL,93.0,withImages,light-theme,largeCards,small-font,2,2,1,5,0
312,STILL,137.0,withImages,light-theme,largeCards,large-font,1,0,2,3,0
313,STILL,33.0,withImages,light-theme,largeCards,large-font,2,2,1,5,0
314,STILL,38.0,withImages,light-theme,largeCards,large-font,1,2,1,4,0
315,STILL,35.0,withImages,light-theme,largeCards,large-font,1,2,2,5,0
316,ON_FOOT,270.0,withImages,dark-theme,largeCards,small-font,2,0,0,2,0
317,STILL,84.0,withImages,light-theme,largeCards,large-font,1,1,2,4,0
318,STILL,90.0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
319,STILL,91.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
320,STILL,73.0,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
321,STILL,71.0,withImages,dark-theme,xLargeCards,small-font,0,1,2,3,0
322,STILL,71.0,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
323,STILL,73.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
324,STILL,142.0,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
325,STILL,141.0,withImages,light-theme,xLargeCards,large-font,0,1,0,1,0
326,STILL,27.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
327,STILL,25.0,withImages,light-theme,largeCards,small-font,1,2,2,5,0
328,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
329,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
330,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
331,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
332,STILL,167.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
333,STILL,167.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
334,STILL,167.0,withImages,dark-theme,xLargeCards,large-font,0,0,0,0,0
335,STILL,167.0,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
336,STILL,167.0,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
337,STILL,148.0,withImages,dark-theme,xLargeCards,small-font,2,1,2,5,0
338,STILL,4.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
339,STILL,16.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
340,STILL,4.0,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
341,IN_VEHICLE,384.0,withImages,dark-theme,largeCards,large-font,-2,-2,-2,-6,0
342,ON_FOOT,192.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
343,ON_FOOT,384.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
344,STILL,470.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
345,STILL,192.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
346,STILL,437.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
